,accuracy,precision,recall,f1,roc_auc
Baseline,0.7341862117981521,0.0,0.0,0.0,0.5
RandomForest,0.7945984363894811,0.6450511945392492,0.5053475935828877,0.5667166416791605,0.8360739966143986
